claim,metric,value,method,confidence
Base size,Records pulled per table,"Departments 8, People 14, Job Openings 24, Candidates 300, Applications 350, Interviews 160, Offers 36, Findings 0",scripts/pull.py - 14 GET requests with pagination; counts in data/raw/_manifest.json,High
VP claim 1,Job Board share of applications,236/350 = 67.4%,scripts/claims.py 1a - Applications joined to Candidates.Source,Medium - Source is stored per candidate not per application and conflicts with referral links
VP claim 1,Job Board share of hires (VP's 26.9%),7/26 = 26.9%,scripts/claims.py 1a - Applications with Stage=Hired grouped by Candidates.Source,Medium - reproduces exactly but Referral also scores 7/26 = 26.9%
VP claim 1,Job Board hires per application,7/236 = 3.0% (95% CI 1.4-6.0%),scripts/claims.py 1a - Wilson interval,Medium-high - direction is robust to every correction tried
VP claim 1,All other sources hires per application,19/114 = 16.7% (95% CI 10.9-24.6%),scripts/claims.py 1a,Medium-high - intervals do not overlap with Job Board
VP claim 1,Job Board hires per application after re-attributing referred applications,6/219 = 2.7% (95% CI 1.3-5.8%) vs others 20/131 = 15.3%,scripts/claims.py 1b - application with Referred By counted as Referral,Medium
VP claim 1,Job Board screening load per hire,189 screened and 90 interviewed for 7 hires,scripts/claims.py 1e,Medium
VP claim 1,Referral hires per application as recorded,7/13 = 53.8% (95% CI 29.1-76.8%),scripts/claims.py 1a,Low - 13 applications; 2 of the 7 hire rows are repeat hires of the same person
VP claim 1,Hire rows vs people hired,26 hire rows = 24 distinct candidates (CAND-00015 and CAND-00035 hired twice),scripts/claims.py 1g,High
VP claim 1,Source mix counting each hired person once,"Job Board 7/24 = 29.2%, Referral 5/24, Career Site 5/24, Agency 4/24, LinkedIn 3/24",scripts/claims.py 1g,Medium
VP claim 2,Offer acceptance - accepted / all offers (VP's 72%),26/36 = 72.2% (95% CI 56.0-84.2%),scripts/claims.py 2a - Offers.Status; 5 Pending offers counted as not accepted,High that this is how 72% was produced
VP claim 2,Offer acceptance - accepted / decided offers,26/31 = 83.9% (95% CI 67.4-92.9%),scripts/claims.py 2b - Accepted / (Accepted + Declined),Medium - n=31; interval is 25 points wide
VP claim 2,Offer acceptance range depending on the 5 pending offers,72.2% (all decline) to 86.1% (all accept),scripts/claims.py 2c-2d,High
VP claim 2,Offer acceptance with repeat-hire offers removed,24/29 = 82.8% decided; 24/34 = 70.6% all offers,scripts/claims.py 1g,Medium
VP claim 2,Offer acceptance on offers with no audit problem,17/20 = 85.0% (95% CI 64.0-94.8%),scripts/claims.py 2i - 15 of 36 offers carry at least one data problem,Low-medium - n=20
VP claim 2,Declined offers and reasons,"5 declines: Counter Offer 3, Compensation 1, Location 1",scripts/claims.py 2e,High for the count; too few to rank causes
VP claim 2,Pay as a cause of declines - median Base CTC / Expected CTC,Accepted 1.15 (n=26) vs Declined 1.14 (n=5),scripts/claims.py 2f,Low - no visible difference and n=5; too small to act on
VP claim 2,Speed as a cause of declines - median days final interview to offer,Accepted 5.5 (n=26) vs Declined 6 (n=5),scripts/claims.py 2g,Low - no visible difference and n=5; too small to act on
VP claim 2,Stale pending offers,5 pending; open 41-243 days at pull; decided offers take median 10 and max 20 days,scripts/claims.py Pending offers in detail,High
Data quality,Pending offers that already carry a Decision On date,4/5 pending offers (4/36 offers),scripts/audit.py C10,High
Data quality,Declined offers whose application is still Stage=Offer,5/5 declined offers (5/10 Stage=Offer applications),scripts/audit.py F3,High
